,year,2
0,2010-01-01,1570819
1,2011-01-01,1584272
2,2012-01-01,1595910
3,2013-01-01,1612053
4,2014-01-01,1632248
5,2015-01-01,1652495
6,2016-01-01,1684036
7,2017-01-01,1719745
8,2018-01-01,1752074
9,2019-01-01,1789060
10,2020-01-01,1826913
