,year,population
0,2010-01-01,25241897
1,2011-01-01,25645504
2,2012-01-01,26084120
3,2013-01-01,26479646
4,2014-01-01,26963092
5,2015-01-01,27468531
6,2016-01-01,27914064
7,2017-01-01,28291024
8,2018-01-01,28624564
9,2019-01-01,28986794
10,2020-01-01,29360759
