,year,population
0,2010-01-01,2775413
1,2011-01-01,2814797
2,2012-01-01,2854146
3,2013-01-01,2898773
4,2014-01-01,2938327
5,2015-01-01,2983626
6,2016-01-01,3044241
7,2017-01-01,3103540
8,2018-01-01,3155153
9,2019-01-01,3203383
10,2020-01-01,3249879
